sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
二林,彰化縣,51,細懸浮微粒,普通,1.8,0.16,57.4,54.4,34,17,3.2,3.7,0.5,3.7,7,"2024/06/07 16:00:00",0.2,15.6,28,2,120.409653,23.925175,35
南投,南投縣,46,,良好,0.9,0.26,71.9,50.9,34,17,7.5,8.3,0.7,2.1,12,"2024/06/07 16:00:00",0.3,12.7,28,0,120.685306,23.913,36
斗六,雲林縣,57,細懸浮微粒,普通,2.2,0.2,66.7,50.2,39,12,4.8,5.6,0.7,3.2,332,"2024/06/07 16:00:00",0.2,17.9,37,1,120.544994,23.711853,37
崙背,雲林縣,43,,良好,,,51.3,46.8,11,10,,,,2,293,"2024/06/07 16:00:00",0.2,12.7,22,1,120.348742,23.757547,38
新港,嘉義縣,57,細懸浮微粒,普通,1.8,0.16,58.2,50.8,33,13,2.5,3.3,0.7,3.2,319,"2024/06/07 16:00:00",0.2,17.9,37,1,120.345531,23.554839,39
朴子,嘉義縣,46,,良好,1.7,0.16,61.3,50.7,31,13,4.3,5.8,1.4,3,330,"2024/06/07 16:00:00",0.2,13.5,30,1,120.2478,23.46538,40
臺西,雲林縣,27,,良好,5.9,0.17,44.3,,25,7,13.2,16.1,2.9,4.5,19,"2024/06/07 16:00:00",0.1,8.1,27,1,120.19933333,23.702175,41
嘉義,嘉義市,55,細懸浮微粒,普通,1.6,0.2,57.9,48.6,31,16,3.3,4.9,1.6,4.4,332,"2024/06/07 16:00:00",0.3,17.2,34,1,120.44125148,23.46477865,42
新營,臺南市,43,,良好,1.5,0.25,64,46.6,32,10,5.5,6.6,1.1,2.7,325,"2024/06/07 16:00:00",0.2,12.7,37,0,120.31725,23.305633,43
善化,臺南市,59,細懸浮微粒,普通,0.9,0.14,57.7,49.2,21,15,3.1,3.8,0.7,2.8,317,"2024/06/07 16:00:00",0.2,18.9,33,0,120.29740529,23.11337642,44
安南,臺南市,62,細懸浮微粒,普通,,,,47,22,9,,,,2.1,302,"2024/06/07 16:00:00",0.2,19.8,33,0,120.2175,23.048197,45
臺南,臺南市,68,細懸浮微粒,普通,0.6,0.2,58.1,55.6,30,16,4.8,6.2,1.4,1.3,327,"2024/06/07 16:00:00",0.3,22.6,38,0,120.21947897,22.98928311,46
美濃,高雄市,40,,良好,0.4,0.22,42.4,37.8,28,14,6.2,6.9,0.7,1.1,10,"2024/06/07 16:00:00",0.2,12.2,31,0,120.530542,22.883583,47
橋頭,高雄市,38,,良好,1,0.15,52.1,41.1,20,13,,,,3.2,256,"2024/06/07 16:00:00",0.2,11.6,18,0,120.305689,22.757506,48
仁武,高雄市,43,,良好,1.3,0.17,51.4,43.8,13,11,6.4,8,1.6,3.1,263,"2024/06/07 16:00:00",0.2,13.2,21,1,120.332631,22.689056,49
鳳山,高雄市,44,,良好,1.2,0.36,44.5,42,17,9,9.5,12.3,2.8,1,254,"2024/06/07 16:00:00",0.4,13.5,28,1,120.357422,22.628126,50
大寮,高雄市,72,細懸浮微粒,普通,1.2,0.2,67.8,46.9,32,19,6.1,6.8,0.6,2.3,230,"2024/06/07 16:00:00",0.3,24,40,1,120.425311,22.56413611,51
林園,高雄市,100,臭氧八小時,普通,1.3,0.2,61.3,70.2,27,18,3,3.3,0.2,2.3,211,"2024/06/07 16:00:00",0.3,24.3,40,1,120.41175,22.4795,52
楠梓,高雄市,38,,良好,0.3,0.16,46.1,41.6,19,8,4.6,5.3,0.6,2.4,234,"2024/06/07 16:00:00",0.2,10.8,21,0,120.328289,22.733667,53
左營,高雄市,52,細懸浮微粒,普通,0.6,0.16,57.6,46.3,15,11,2.7,3.5,0.7,2.2,251,"2024/06/07 16:00:00",0.2,16.1,21,0,120.292917,22.674861,54
前金,高雄市,44,,良好,0.7,0.19,52.2,47.1,25,8,3.2,4.2,0.9,2.1,249,"2024/06/07 16:00:00",0.2,10.7,23,0,120.28676111,22.63390278,56
前鎮,高雄市,56,細懸浮微粒,普通,2.3,0.23,49.2,45.1,19,13,9.8,11.6,1.8,1.2,209,"2024/06/07 16:00:00",0.3,17.6,27,2,120.30833356,22.6044507,57
小港,高雄市,60,細懸浮微粒,普通,1.8,0.2,51.3,46.7,22,0,11.3,12.8,1.5,2.3,257,"2024/06/07 16:00:00",0.3,19,31,1,120.337736,22.565833,58
屏東,屏東縣,56,細懸浮微粒,普通,1.1,0.4,48.4,44.2,32,23,12.6,13.9,1.2,1.3,79,"2024/06/07 16:00:00",0.3,17.6,35,2,120.488033,22.673081,59
潮州,屏東縣,37,,良好,0.5,0.08,35.6,40.6,20,5,1.4,2.5,1,2.8,230,"2024/06/07 16:00:00",0.1,8.9,24,0,120.561175,22.523108,60
